countrycode,country,year,rgdpna,emp,rkna,delta
CRI,"Costa Rica",2010,54430.42578125,2.02348136901855,126393.109375,0.0613501593470573
CYP,"Cyprus",2010,23111.22265625,0.321531981229782,124272.7890625,0.0349156446754932
CZE,"Czech Republic",2010,276096.5625,5.03602170944214,1612379.625,0.041021678596735
DEU,"Germany",2010,3350847.75,40.4124984741211,13175145,0.0390462949872017
DJI,"Djibouti",2010,2086.62646484375,0.113694004714489,12579.623046875,0.0371512956917286
DNK,"Denmark",2010,240236.890625,2.77569317817688,1068637.125,0.0437954775989056
DOM,"Dominican Republic",2010,113893.640625,3.78214621543884,355040.15625,0.0304727051407099
DZA,"Algeria",2010,471140.875,9.79781246185303,1344066.75,0.0642140433192253
ECU,"Ecuador",2010,140492.4375,5.47705888748169,470558.53125,0.0463801473379135
EGY,"Egypt",2010,882494.875,25.1488456726074,1038149.375,0.0607480965554714
ESP,"Spain",2010,1490921.125,19.6798419952393,7935233,0.0367885157465935
EST,"Estonia",2010,27154.69140625,0.565470039844513,132304.296875,0.0460844896733761
ETH,"Ethiopia",2010,95246.3203125,39.1059074401855,213274.015625,0.0440768636763096
FIN,"Finland",2010,202177.4375,2.53703212738037,977834.375,0.0417886674404144
FJI,"Fiji",2010,5991.34033203125,0.30520099401474,14265.3642578125,0.0768219903111458
FRA,"France",2010,2343530.75,26.9099521636963,10912787,0.0385999083518982
GAB,"Gabon",2010,24156.609375,0.364145010709763,69815.5703125,0.0730253905057907
GBR,"United Kingdom",2010,2166255.5,29.357385635376,9652181,0.0377607569098473
GEO,"Georgia",2010,35025.28515625,1.41252744197845,63657.9765625,0.0374789126217365
GHA,"Ghana",2010,71752.421875,10.6604652404785,211633.46875,0.050138033926487
GIN,"Guinea",2010,14665.6767578125,4.51174879074097,14205.283203125,0.0546030849218369
GMB,"Gambia",2010,3050.51220703125,0.494505971670151,7699.234375,0.0548884719610214
GNB,"Guinea-Bissau",2010,2169.283203125,0.639816999435425,5139.0185546875,0.0219415705651045
GNQ,"Equatorial Guinea",2010,30566.9609375,0.329709976911545,75155.4453125,0.0904310271143913
GRC,"Greece",2010,298853.59375,4.88598012924194,1620005.125,0.0342024527490139
GTM,"Guatemala",2010,96072.375,4.34727144241333,260478.28125,0.0465324819087982
HKG,"China, Hong Kong SAR",2010,299296,3.36605167388916,1436132.75,0.0450724847614765
HND,"Honduras",2010,32447.369140625,2.94007897377014,107767.671875,0.0594936646521091
HRV,"Croatia",2010,85476.828125,1.63539791107178,377393.03125,0.044437762349844
HTI,"Haiti",2010,15841.8828125,3.85861611366272,108021.171875,0.0129998410120606
HUN,"Hungary",2010,205025.328125,4.0104079246521,929611.6875,0.0432837754487991
IDN,"Indonesia",2010,2040385.75,108.924430847168,10520049,0.0365683883428574
IND,"India",2010,5577653,487.509185791016,16199758,0.0549157708883286
IRL,"Ireland",2010,222146.46875,1.88045632839203,888218.0625,0.0483139343559742
IRN,"Iran (Islamic Republic of)",2010,1306119,21.645092010498,3274892.5,0.0591745264828205
IRQ,"Iraq",2010,332049.71875,6.45928335189819,526256.1875,0.0570989474654198
ISL,"Iceland",2010,11565.0263671875,0.17234867811203,50938.95703125,0.0404510200023651
ISR,"Israel",2010,211500.125,3.44269847869873,668064.25,0.0452385656535625
ITA,"Italy",2010,2085554.375,24.2797908782959,11598230,0.0386467948555946
JAM,"Jamaica",2010,19321.83203125,1.05373871326447,128061.125,0.0365112200379372
JOR,"Jordan",2010,76542.828125,1.56723439693451,180398.953125,0.0434886775910854
JPN,"Japan",2010,4471535.5,64.352912902832,17106916,0.0471739955246449
KAZ,"Kazakhstan",2010,328668.15625,7.92455339431763,599164.5,0.0394591428339481
KEN,"Kenya",2010,105861.640625,15.100269317627,228498.671875,0.0510343834757805
KGZ,"Kyrgyzstan",2010,21710.169921875,2.24050498008728,28561.849609375,0.0334376618266106
KHM,"Cambodia",2010,34019.83984375,8.4930534362793,66665.265625,0.0500520691275597
KOR,"Republic of Korea",2010,1534068,24.0513210296631,5815018,0.0505244620144367
KWT,"Kuwait",2010,227884.859375,1.51870155334473,367331.78125,0.0540320985019207
LAO,"Lao People's DR",2010,25937.798828125,3.01241588592529,69517.8515625,0.0615128353238106
LBN,"Lebanon",2010,73843.8046875,1.44982802867889,305869.09375,0.0414263643324375
LBR,"Liberia",2010,3162.90600585938,1.32151401042938,8369.9453125,0.070986770093441
LCA,"Saint Lucia",2010,1815.89233398438,0.0746354535222054,7003.400390625,0.0478109270334244
LKA,"Sri Lanka",2010,167367.09375,6.73179912567139,441275.21875,0.036819014698267
LSO,"Lesotho",2010,4584.55615234375,0.611481010913849,19303.994140625,0.0469383634626865
LTU,"Lithuania",2010,58615.9453125,1.09819650650024,216948.703125,0.0417712666094303
LUX,"Luxembourg",2010,27392.322265625,0.366877108812332,153903.96875,0.0456629693508148
LVA,"Latvia",2010,35805.2890625,0.795039772987366,249161.125,0.0366162434220314
MAC,"China, Macao SAR",2010,55410.671875,0.324759185314178,101583.5703125,0.0404785349965096
MAR,"Morocco",2010,223369.109375,11.3515367507935,1085809.5,0.0529935993254185
MDA,"Republic of Moldova",2010,18674.513671875,1.24570953845978,41035.29296875,0.030859213322401
MDG,"Madagascar",2010,28835.205078125,9.04960250854492,49325.47265625,0.055055346339941
MDV,"Maldives",2010,5051.72509765625,0.137545004487038,9804.73828125,0.0626065209507942
MEX,"Mexico",2010,1761765.25,48.2994537353516,5671746,0.0366898886859417
MKD,"TFYR of Macedonia",2010,22853.55859375,0.684181094169617,63835.5625,0.040312297642231
MLI,"Mali",2010,22831.3203125,4.96467447280884,46866.078125,0.0673209726810455
MLT,"Malta",2010,9680.3271484375,0.165870621800423,37266.89453125,0.0508481003344059
MMR,"Myanmar",2010,191732.46875,29.0376682281494,175054.21875,0.0854405164718628
MNE,"Montenegro",2010,9502.921875,0.203090995550156,25266.599609375,0.0438129119575024
MNG,"Mongolia",2010,22310.185546875,1.13487708568573,101566.296875,0.0565151013433933
MOZ,"Mozambique",2010,21594.208984375,10.316234588623,34149.8125,0.0506891757249832
MRT,"Mauritania",2010,10952.2548828125,0.689563989639282,26544.298828125,0.0501732155680656
MUS,"Mauritius",2010,19882.083984375,0.526508986949921,69976.828125,0.045308094471693
MWI,"Malawi",2010,16880.501953125,5.68221092224121,56589.8125,0.0616643540561199
MYS,"Malaysia",2010,526697.3125,12.087607383728,1465085.75,0.0606873258948326
NAM,"Namibia",2010,17472.927734375,0.647165954113007,58283.24609375,0.0593104287981987
NER,"Niger",2010,13239.109375,5.81700086593628,63821.05859375,0.0369044244289398
NGA,"Nigeria",2010,801899.75,51.8180999755859,1384461.125,0.0526526793837547
NIC,"Nicaragua",2010,22904.142578125,2.2385048866272,76430.7265625,0.0376368574798107
NLD,"Netherlands",2010,732058.3125,8.81703662872314,3226150.75,0.0394147448241711
NOR,"Norway",2010,395572.90625,2.59097409248352,1089892.875,0.0403597876429558
NPL,"Nepal",2010,57514.5703125,13.715916633606,157241.59375,0.0394611097872257
NZL,"New Zealand",2010,138135.015625,2.22813558578491,403022.40625,0.0406007282435894
OMN,"Oman",2010,144273,1.17318499088287,376009.5625,0.062904380261898
PAK,"Pakistan",2010,754512.375,49.5873374938965,1368008.375,0.0556799694895744
PAN,"Panama",2010,55200.1484375,1.5784969329834,128348.796875,0.0538400039076805
PER,"Peru",2010,280784.1875,13.4897270202637,672366.75,0.0386328585445881
PHL,"Philippines",2010,533402.25,33.9819564819336,1687654.5,0.0492786467075348
POL,"Poland",2010,802589.8125,15.4146528244019,1783669.25,0.0479051023721695
PRT,"Portugal",2010,270314.34375,4.80284643173218,1698433.5,0.0353437587618828
PRY,"Paraguay",2010,44494.34765625,2.75137591362,116631.734375,0.0386004857718945
QAT,"Qatar",2010,262215.09375,1.31072998046875,569881.125,0.0902904346585274
ROU,"Romania",2010,341781.9375,8.46376609802246,1458644.25,0.0525604672729969
RUS,"Russian Federation",2010,3177036.5,70.1130752563477,6561339,0.0395204238593578
RWA,"Rwanda",2010,14182.6494140625,4.9410719871521,22537.1484375,0.0480315461754799
SAU,"Saudi Arabia",2010,1268987.125,9.4716215133667,4001625.5,0.0514529831707478
SDN,"Sudan (Former)",2010,176629.59375,11.099142074585,323920.34375,0.0681480690836906
SEN,"Senegal",2010,27872.453125,4.19234943389893,92492.859375,0.0411874651908875
SGP,"Singapore",2010,301416.4375,3.01095199584961,1259760.75,0.0540180876851082
SLE,"Sierra Leone",2010,8245.193359375,2.09622693061829,15019.1337890625,0.057988628745079
SLV,"El Salvador",2010,44713.64453125,2.38968896865845,94734.90625,0.0474235601723194
SRB,"Serbia",2010,88912.015625,1.96832668781281,389344.875,0.0404199920594692
STP,"Sao Tome and Principe",2010,529.584594726563,0.0498390011489391,3506.77954101563,0.0660354942083359
SUR,"Suriname",2010,6472.57861328125,0.185353994369507,32869.953125,0.0739580243825912
SVK,"Slovakia",2010,118302.6484375,2.1446681022644,405816.96875,0.0516479909420013
SVN,"Slovenia",2010,53198.86328125,0.98534893989563,273947,0.0444296337664127
SWE,"Sweden",2010,387842.71875,4.49570941925049,1542601.25,0.045663595199585
SWZ,"Swaziland",2010,8832.537109375,0.262037009000778,49334.33984375,0.050198707729578
SYC,"Seychelles",2010,1873.29516601563,0.0441068075597286,8562.6943359375,0.0404004864394665
SYR,"Syrian Arab Republic",2010,130821.171875,5.30124282836914,311814.28125,0.0548122562468052
TCD,"Chad",2010,20929.53515625,4.13448905944824,21948.849609375,0.0581519156694412
TGO,"Togo",2010,7681.75244140625,2.71692991256714,21656.419921875,0.0304529927670956
THA,"Thailand",2010,883627.625,38.6410903930664,3188433.5,0.0648341029882431
TJK,"Tajikistan",2010,23555.197265625,2.26123833656311,193946.71875,0.0245606433600187
TKM,"Turkmenistan",2010,73541.578125,2.45963883399963,253402.84375,0.0414544939994812
TTO,"Trinidad and Tobago",2010,39700.72265625,0.629288017749786,197820.109375,0.0507485643029213
TUN,"Tunisia",2010,114487.765625,3.3113317489624,463038.34375,0.0503695234656334
TUR,"Turkey",2010,1211135.625,20.998649597168,3033170,0.0533110611140728
TWN,"Taiwan",2010,861682.125,10.5548210144043,3044584,0.0622603110969067
TZA,"U.R. of Tanzania: Mainland",2010,94526.546875,19.137523651123,362264.09375,0.0419664867222309
UGA,"Uganda",2010,60620.46484375,11.6374263763428,143906.328125,0.0486049167811871
UKR,"Ukraine",2010,445657.34375,19.2778568267822,1587083.25,0.0313124284148216
URY,"Uruguay",2010,55408.34375,1.58423006534576,214591.390625,0.0362423025071621
USA,"United States",2010,15273331,141.349105834961,48728140,0.0471082739531994
UZB,"Uzbekistan",2010,192311.390625,11.5759124755859,241261.9375,0.0325345285236835
VCT,"St. Vincent and the Grenadines",2010,936.683471679688,0.0434070006012917,6192.93701171875,0.0264091119170189
VEN,"Venezuela (Bolivarian Republic of)",2010,501291.40625,11.6041965484619,2073764.625,0.0375907681882381
VNM,"Viet Nam",2010,402426.9375,48.7777862548828,1036904.625,0.045953631401062
YEM,"Yemen",2010,113573.140625,5.40491580963135,179948.296875,0.0416370406746864
ZAF,"South Africa",2010,599116.5625,15.3666648864746,1885668.25,0.0519914068281651
ZMB,"Zambia",2010,43225.58984375,3.79295921325684,221455.34375,0.0449437350034714
ZWE,"Zimbabwe",2010,19295.1875,6.29843807220459,78953.296875,0.0373084470629692
